SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	Freezer_Box	Yield1	Yield2	Yield
WUA_TM41	TotalMG	A	JepsonBot	120	2	12-04-2020	Wet	2	32.5	32.2	32.35
WUA_TM42	TotalMG	A	JepsonBot	120	3	12-04-2020	Wet	2	36.5	36	36.25
WUA_TM43	TotalMG	A	JepsonTop	168	1	12-06-2020	Wet	2	32.6	32.2	32.4
WUA_TM44	TotalMG	A	JepsonTop	168	2	12-06-2020	Wet	2	46.5	46.3	46.4
WUA_TM45	TotalMG	A	JepsonTop	168	3	12-06-2020	Wet	2	39.4	39.2	39.3
WUA_TM46	TotalMG	A	JepsonBot	168	1	12-06-2020	Wet	2	39.9	38.6	39.25
WUA_TM47	TotalMG	A	JepsonBot	168	2	12-06-2020	Wet	2	34.2	33.1	33.65
WUA_TM48	TotalMG	A	JepsonBot	168	3	12-06-2020	Wet	2	38.5	38.6	38.55
WUA_TM49	TotalMG	A	JepsonTop	240	1	12-09-2020	Wet	2	31.7	31.5	31.6
WUA_TM50	TotalMG	A	JepsonTop	240	2	12-09-2020	Wet	2	41.6	41.3	41.45
WUA_TM51	TotalMG	A	JepsonTop	240	3	12-09-2020	Wet	2	39.3	39.1	39.2
WUA_TM52	TotalMG	A	JepsonBot	240	1	12-09-2020	Wet	2	29.6	29.1	29.35
WUA_TM53	TotalMG	A	JepsonBot	240	2	12-09-2020	Wet	2	32.3	31.7	32
WUA_TM54	TotalMG	A	JepsonBot	240	3	12-09-2020	Wet	2	29.2	29.7	29.45
WUA_TM55	TotalMG	A	JepsonTop	240	1	12-08-2020	Dry	2	NA	NA	NA
WUA_TM56	TotalMG	A	JepsonTop	240	2	12-08-2020	Dry	2	NA	NA	NA
WUA_TM57	TotalMG	A	JepsonTop	240	3	12-08-2020	Dry	2	NA	NA	NA
WUA_TM58	TotalMG	A	JepsonBot	240	1	12-08-2020	Dry	2	NA	NA	NA
WUA_TM59	TotalMG	A	JepsonBot	240	2	12-08-2020	Dry	2	NA	NA	NA
WUA_TM60	TotalMG	A	JepsonBot	240	3	12-08-2020	Dry	2	NA	NA	NA
WUB_TM01	TotalMG	B	Hopland	0	1	01-07-2020	Dry		19.7	19.4	19.55
WUB_TM02	TotalMG	B	Hopland	0	2	01-07-2020	Dry		35.1	34.6	34.85
WUB_TM03	TotalMG	B	Hopland	0	3	01-07-2020	Dry		26.1	26.3	26.2
WUB_TM04	TotalMG	B	McLaughlin	0	1	01-07-2020	Dry		45.7	44.7	45.2
WUB_TM05	TotalMG	B	McLaughlin	0	2	01-07-2020	Dry		37.8	37.3	37.55
WUB_TM06	TotalMG	B	McLaughlin	0	3	01-07-2020	Dry		21.8	22	21.9
WUB_TM07	TotalMG	B	Hopland	24	1	01-09-2021	Wet	1	49.7	49.8	49.75
WUB_TM08	TotalMG	B	Hopland	24	2	01-09-2021	Wet	1	36.8	35.3	36.05
WUB_TM09	TotalMG	B	Hopland	24	3	01-09-2021	Wet	1	45.4	43.8	44.6
WUB_TM10	TotalMG	B	McLaughlin	24	1	01-09-2021	Wet	1	52	51	51.5
WUB_TM11	TotalMG	B	McLaughlin	24	2	01-09-2021	Wet	1	36.2	35.9	36.05
WUB_TM12	TotalMG	B	McLaughlin	24	3	01-09-2021	Wet	1	43.2	43.9	43.55
WUB_TM13	TotalMG	B	Hopland	48	1	01-10-2021	Wet	1	46	45.9	45.95
WUB_TM14	TotalMG	B	Hopland	48	2	01-10-2021	Wet	1	33.8	32.4	33.1
WUB_TM15	TotalMG	B	Hopland	48	3	01-10-2021	Wet	1	57	57	57
WUB_TM16	TotalMG	B	McLaughlin	48	1	01-10-2021	Wet	1	48.7	48.6	48.65
WUB_TM17	TotalMG	B	McLaughlin	48	2	01-10-2021	Wet	1	30.5	30.7	30.6
WUB_TM18	TotalMG	B	McLaughlin	48	3	01-10-2021	Wet	1	41.5	41.6	41.55
WUB_TM19	TotalMG	B	Hopland	72	1	01-11-2021	Wet	1	49.2	46.9	48.05
WUB_TM20	TotalMG	B	Hopland	72	2	01-11-2021	Wet	1	53	51	52
WUB_TM21	TotalMG	B	Hopland	72	3	01-11-2021	Wet	1	44.3	43.9	44.1
WUB_TM22	TotalMG	B	McLaughlin	72	1	01-11-2021	Wet	1	35.1	34.8	34.95
WUB_TM23	TotalMG	B	McLaughlin	72	2	01-11-2021	Wet	1	47.5	47.4	47.45
WUB_TM24	TotalMG	B	McLaughlin	72	3	01-11-2021	Wet	1	49	49	49
WUB_TM25	TotalMG	B	Hopland	120	1	01-13-2021	Wet	1	43.1	41	42.05
WUB_TM26	TotalMG	B	Hopland	120	2	01-13-2021	Wet	1	44	45.1	44.55
WUB_TM27	TotalMG	B	Hopland	120	3	01-13-2021	Wet	1	43.7	42.1	42.9
WUB_TM28	TotalMG	B	McLaughlin	120	1	01-13-2021	Wet	1	41	40.8	40.9
WUB_TM29	TotalMG	B	McLaughlin	120	2	01-13-2021	Wet	1	49.5	49	49.25
WUB_TM30	TotalMG	B	McLaughlin	120	3	01-13-2021	Wet	1	42.8	41.5	42.15
WUB_TM31	TotalMG	B	Hopland	168	1	01-15-2021	Wet	1	46.8	44.8	45.8
WUB_TM32	TotalMG	B	Hopland	168	2	01-15-2021	Wet	1	43.3	43.3	43.3
WUB_TM33	TotalMG	B	Hopland	168	3	01-15-2021	Wet	1	43.3	41.7	42.5
WUB_TM34	TotalMG	B	McLaughlin	168	1	01-15-2021	Wet	1	41.8	39.7	40.75
WUB_TM35	TotalMG	B	McLaughlin	168	2	01-15-2021	Wet	1	57	56	56.5
WUB_TM36	TotalMG	B	McLaughlin	168	3	01-15-2021	Wet	1	39.2	38.5	38.85
WUB_TM37	TotalMG	B	Hopland	240	1	01-18-2021	Wet	1	42	40.3	41.15
WUB_TM38	TotalMG	B	Hopland	240	2	01-18-2021	Wet	1	40.7	38.6	39.65
WUB_TM39	TotalMG	B	Hopland	240	3	01-18-2021	Wet	1	50	47.7	48.85
WUB_TM40	TotalMG	B	McLaughlin	240	1	01-18-2021	Wet	1	46.3	45.5	45.9
WUB_TM41	TotalMG	B	McLaughlin	240	2	01-18-2021	Wet	1	43.8	42.9	43.35
WUB_TM42	TotalMG	B	McLaughlin	240	3	01-18-2021	Wet	1	51	49.9	50.45
WUB_TM43	TotalMG	B	Hopland	240	1	01-18-2021	Dry	1	NA	NA	NA
WUB_TM44	TotalMG	B	Hopland	240	2	01-18-2021	Dry	1	NA	NA	NA
WUB_TM45	TotalMG	B	Hopland	240	3	01-18-2021	Dry	1	NA	NA	NA
WUB_TM46	TotalMG	B	McLaughlin	240	1	01-18-2021	Dry	1	NA	NA	NA
WUB_TM47	TotalMG	B	McLaughlin	240	2	01-18-2021	Dry	1	NA	NA	NA
WUB_TM48	TotalMG	B	McLaughlin	240	3	01-18-2021	Dry	1	NA	NA	NA
