MAG_ID	Soil	Cluster	Domain	Phylum	Class	Order	Family	Genus	Species
JB_15691	Jepson Swale	Dry-dominant	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bog-793	Palsa-601	Unclassified
JT_5289	Jepson Mound	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
JT_11272	Jepson Mound	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
ML_24902	McLaughlin	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	70-9	Unclassified	Unclassified
HL_k29_11940	Hopland	Dry-dominant	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	JACDCH01	VFJN01	Unclassified
ML_23743	McLaughlin	Dry-dominant	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	JACDCH01	VFJN01	Unclassified
ML_7063	McLaughlin	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	PALSA-612	Unclassified
JB_7650	Jepson Mound	Dry-dominant	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	UBA9676	Unclassified
JT_19444	Jepson Mound	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
JB_5830	Jepson Swale	Dry-dominant	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	CF-113	Unclassified
JT_3316	Jepson Mound	Dry-dominant	Bacteria	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	QHVT01	Unclassified
JT_27667	Jepson Swale	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
JT_4647	Jepson Swale	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
JT_11756	Jepson Mound	Dry-dominant	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Kineosporiaceae	Unclassified	Unclassified
ML_26926	Jepson Mound	Dry-dominant	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unclassified
JB_20884	Jepson Swale	Dry-dominant	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Palsa-883	Unclassified
JB_15006	Jepson Swale	Dry-dominant	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Palsa-688	Unclassified	Unclassified
JB_24919	Jepson Swale	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
JB_14063	Jepson Mound	Dry-dominant	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unclassified
JB_23618	Jepson Swale	Dry-dominant	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	JAFAQI01	JAFAQI01	Unclassified
ML_21886	McLaughlin	Dry-dominant	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Unclassified	Unclassified
HL_k29_10909	Hopland	Dry-dominant	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	JACDDX01	Unclassified
HL_k29_9574	McLaughlin	Dry-dominant	Bacteria	Proteobacteria	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	Unclassified	Unclassified
ML_13094	McLaughlin	Dry-dominant	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Unclassified	Unclassified
ML_6448	McLaughlin	Dry-dominant	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	Unclassified	Unclassified
JT_4678	McLaughlin	Dry-dominant	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila	Unclassified
ML_9537	McLaughlin	Dry-dominant	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila	Unclassified
