SampleID	Profile	Soil	Status	hrs_post_wetup	DNA_yield
WUB_TM05	Total MetaG	McLaughlin	Dry	0	37.55
WUB_TM06	Total MetaG	McLaughlin	Dry	0	21.9
WUB_TM07	Total MetaG	Hopland	Wet	24	49.75
WUB_TM08	Total MetaG	Hopland	Wet	24	36.05
WUB_TM09	Total MetaG	Hopland	Wet	24	44.6
WUB_TM10	Total MetaG	McLaughlin	Wet	24	51.5
WUB_TM11	Total MetaG	McLaughlin	Wet	24	36.05
WUB_TM12	Total MetaG	McLaughlin	Wet	24	43.55
WUB_TM13	Total MetaG	Hopland	Wet	48	45.95
WUB_TM14	Total MetaG	Hopland	Wet	48	33.1
WUB_TM15	Total MetaG	Hopland	Wet	48	57
WUB_TM16	Total MetaG	McLaughlin	Wet	48	48.65
WUB_TM17	Total MetaG	McLaughlin	Wet	48	30.6
WUB_TM18	Total MetaG	McLaughlin	Wet	48	41.55
WUB_TM19	Total MetaG	Hopland	Wet	72	48.05
WUB_TM20	Total MetaG	Hopland	Wet	72	52
WUB_TM21	Total MetaG	Hopland	Wet	72	44.1
WUB_TM22	Total MetaG	McLaughlin	Wet	72	34.95
WUB_TM23	Total MetaG	McLaughlin	Wet	72	47.45
WUB_TM24	Total MetaG	McLaughlin	Wet	72	49
WUB_TM25	Total MetaG	Hopland	Wet	120	42.05
WUB_TM26	Total MetaG	Hopland	Wet	120	44.55
WUB_TM27	Total MetaG	Hopland	Wet	120	42.9
WUB_TM28	Total MetaG	McLaughlin	Wet	120	40.9
WUB_TM29	Total MetaG	McLaughlin	Wet	120	49.25
WUB_TM30	Total MetaG	McLaughlin	Wet	120	42.15
WUB_TM31	Total MetaG	Hopland	Wet	168	45.8
WUB_TM32	Total MetaG	Hopland	Wet	168	43.3
WUB_TM33	Total MetaG	Hopland	Wet	168	42.5
WUB_TM34	Total MetaG	McLaughlin	Wet	168	40.75
WUB_TM35	Total MetaG	McLaughlin	Wet	168	56.5
WUB_TM36	Total MetaG	McLaughlin	Wet	168	38.85
WUB_TM37	Total MetaG	Hopland	Wet	240	41.15
WUB_TM38	Total MetaG	Hopland	Wet	240	39.65
WUB_TM39	Total MetaG	Hopland	Wet	240	48.85
WUB_TM40	Total MetaG	McLaughlin	Wet	240	45.9
WUB_TM41	Total MetaG	McLaughlin	Wet	240	43.35
WUB_TM42	Total MetaG	McLaughlin	Wet	240	50.45
